enrichment_targets,source_id,data_type,schema_version,enrichment_target,disease_state_names,occurrence_date,source_name,therapeutic_area_names,asset_names,stakeholder_internal_ids,stakeholder_source_ids,stakeholder_names,msl_internal_ids,msl_source_ids,msl_names,interaction_type,stakeholder_type,country,state,text
text,c4142314-c69d-4567-8234-5395610c84ad,insights_interaction,latest,,,2021-01-11,MSL Interactions,Oncology,Vibranium,,WB-EU-02094,Diana Davis,,onco-eu-0045,Alessandra Ricci,Iron Man,Avenger,Spain,,Significant increase in CD8+ T-cell infiltration detected in tumor biopsies following Vibranium/Wakanda administration.
text,d9d02b05-9a84-4316-8aa2-86c643549ba7,insights_interaction,latest,,,2021-02-10,MSL Interactions,Oncology,Vibranium,,WB-EU-02810,Claudia Koon,,onco-eu-0045,Alessandra Ricci,Iron Man,X-Men,Spain,,Reduction in pain levels reported by patients with bone metastases.
text,c48797af-cb8f-4a65-bb71-362a871a917b,insights_interaction,latest,,,2021-04-05,MSL Interactions,Oncology,Vibranium,,WB-EU-02343,Kathy Jubilee,,onco-eu-0045,Alessandra Ricci,Phone,Avenger,Spain,,Improved patient-reported quality of life scores observed in patients with pancreatic cancer following Vibranium/Wakanda treatment.
text,8e908191-5b2f-44a1-8acb-97468a3bed8b,insights_interaction,latest,,,2021-06-26,MSL Interactions,Oncology,Vibranium,,WB-EU-02921,Robert Ray,,onco-eu-0045,Alessandra Ricci,Ulton,X-Men,Ragnarok,,Excellent long-term safety profile with minimal cumulative toxicity
text,d720ea69-5c3b-405a-ad21-4f9202c58df1,insights_interaction,latest,,,2021-06-28,MSL Interactions,Oncology,Vibranium,,WB-EU-02167,Renee Burnett,,onco-eu-0045,Alessandra Ricci,Phone,X-Men,Ragnarok,,Complete remission observed in one patient with metastatic colon cancer after 4 cycles of Vibranium/Wakanda.
text,3b47f5a5-194b-449e-a9cf-a86f72f747b7,insights_interaction,latest,,,2021-11-29,MSL Interactions,Oncology,Vibranium,,WB-EU-02921,Robert Ray,,onco-eu-0045,Alessandra Ricci,Phone,X-Men,Ragnarok,,Machine learning algorithms successfully developed to predict individualized treatment response with unprecedented accuracy.
text,1f209564-3944-45c8-8e20-8092caefa2b8,insights_interaction,latest,,,2022-01-14,MSL Interactions,Oncology,Vibranium,,WB-EU-02921,Robert Ray,,onco-eu-0045,Alessandra Ricci,Phone,X-Men,Ragnarok,,"Patients reported significantly reduced pain scores and improved performance status compared to standard chemotherapy, indicating enhanced symptomatic management."
text,cc88e382-11d9-433a-8492-2f551c761a61,insights_interaction,latest,,,2022-06-30,MSL Interactions,Oncology,Vibranium,,WB-EU-02868,David Newell,,onco-eu-0045,Alessandra Ricci,Iron Man,Avenger,Italy,,Streamlined patient monitoring protocol reduces clinical assessment time and improves overall treatment management efficiency.
text,9a7bc560-17ab-4b87-8cb3-60cd464fbcad,insights_interaction,latest,,,2022-07-05,MSL Interactions,Oncology,Vibranium,,WB-EU-02381,Constance Simon,,onco-eu-0045,Alessandra Ricci,Iron Man,Wolverine,Ragnarok,,"Patient with advanced pancreatic cancer (PDAC) demonstrated a partial response (PR) after 6 weeks of Vibranium therapy, with a significant reduction in tumor size measurable by CT scan.  CA 19-9 levels also decreased substantially."
text,b3106052-f128-4422-aa0a-05a09067b21f,insights_interaction,latest,,,2022-12-02,MSL Interactions,Oncology,Vibranium,,WB-EU-02412,Sylvia Nelson,,onco-eu-0045,Alessandra Ricci,Phone,Avenger,Italy,,PD-L1 expression did not appear to be a reliable predictor of response to Vibranium/Wakanda.
text,044ae5ad-ecaf-4df9-b5f9-dd649b4e458b,insights_interaction,latest,,,2023-01-02,MSL Interactions,Oncology,Vibranium,,WB-EU-02887,Isidro Smith,,onco-eu-0045,Alessandra Ricci,Iron Man,X-Men,Ragnarok,,Observed synergistic effects when Vibranium/Wakanda was combined with checkpoint inhibitor immunotherapy in a subset of patients with advanced non-small cell lung cancer (NSCLC).
text,35581646-0606-48c5-a1ab-a1bc6f20cef5,insights_interaction,latest,,,2023-03-17,MSL Interactions,Oncology,Vibranium,,WB-EU-02241,Shane Abraham,,onco-eu-0045,Alessandra Ricci,Iron Man,X-Men,Greece,,Treatment requires specialized administration techniques and monitoring.
text,fc6a95d2-4b31-47a6-888b-f79f3904c2b4,insights_interaction,latest,,,2023-07-14,MSL Interactions,Oncology,Vibranium,,WB-EU-02241,Shane Abraham,,onco-eu-0045,Alessandra Ricci,Ulton,X-Men,Greece,,"Overall response rate appears promising, but further studies are needed to confirm efficacy."
